"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"North America",1998,20497848,10521987,100,100,4.28640313129958,2.03508984800627,2.25590425113291,8792,4286,4506
"Eastern and Southern Africa",1998,33395821,18379033,100,100,44.9389600336203,17.929087412686,27.5029758795884,150258,66503,83755
"Eastern Europe and Central Asia",1998,32540158,16792918,100,100,7.63643080107457,3.45678422289202,4.19414483186587,24868,11630,13238
"Western Europe",1998,29894621,14581360,99.99,99.99,3.08596406150263,1.42144530557407,1.66688814625888,9258,4149,5109
"West and Central Africa",1998,29552277,16142082,100,100,33.1966999289536,14.4652275487307,19.0064043439411,98503,47039,51464
"World",1998,516642091,269043431,100,100,13.8442246034897,6.19778190884191,7.69412922959122,717021,334538,382483
"South Asia",1999,128979550,68745639,100,100,20.6312851812334,8.70353140741315,12.0324788312368,266020,120188,145832
"Sub-Saharan Africa",1999,64957565,35566878,100,100,38.721807391349,15.8893406138419,23.2011172318252,251903,113913,137990
"Europe and Central Asia",1999,62581295,31546227,100,100,5.61913182934015,2.56697613693646,3.06001066676413,35242,16219,19023
"Middle East and North Africa",1999,31924782,17389017,100,100,6.68574867475258,3.21266680080768,3.48427569078161,21343,11193,10150
"Latin America and Caribbean",1999,49208406,25664926,100,100,6.88951406017257,3.15827124825356,3.74306442467184,33893,16237,17656
"East Asia and Pacific",1999,164097647,84491427,100,100,5.96947341839338,2.93090762279082,3.04749772992964,98192,49600,48592
"North America",1999,20816136,10648457,100,100,4.33141885476362,2.02359604932508,2.31250237611093,9022,4314,4708
"Eastern and Southern Africa",1999,34478317,18971772,100,100,43.9820666915279,17.3792300787626,27.0733506018783,151633,66505,85128
"Eastern Europe and Central Asia",1999,32928351,17069639,100,100,7.98076440215267,3.55934184251803,4.43721612866561,26283,12176,14107
"Western Europe",1999,29652944,14476588,99.99,99.99,3.01200528541634,1.39551125847606,1.61875301499745,8959,4044,4915
"West and Central Africa",1999,30479248,16595106,100,100,32.7742508966682,14.1833312307584,18.8583945218941,100270,47408,52862
"World",1999,522565381,274052571,100,100,13.6817604557437,6.03314228889032,7.69504345896043,715618,331670,383948
"South Asia",2000,131906395,70332182,100,100,20.0730163532388,8.46517621772025,11.7069414579304,264598,119580,145018
"Sub-Saharan Africa",2000,67002795,36585078,100,100,37.8624918222813,15.4113813297261,22.8025289616656,253965,113640,140325
"Europe and Central Asia",2000,62755186,31675326,100,100,5.240818884238,2.3702435154415,2.8773954968142,32946,15032,17914
"Middle East and North Africa",2000,32997807,17874457,100,100,6.55870953158,3.12248514962262,3.4469875493912,21628,11180,10448
"Latin America and Caribbean",2000,49844308,25929860,100,100,6.75838816610774,3.09798725167946,3.67177602975954,33683,16090,17593
"East Asia and Pacific",2000,164373800,85608776,100,100,5.81457814289721,2.81222336987832,3.01082187666307,95721,48216,47505
"North America",2000,21157152,10741702,100,100,4.23479761823087,1.95680483531683,2.28245910993685,8968,4209,4759
"Eastern and Southern Africa",2000,35640116,19571809,100,100,42.6222032346376,16.6790790104265,26.3831712215611,151761,65838,85923
"Eastern Europe and Central Asia",2000,33313613,17333145,100,100,7.28058890401562,3.193964357777,4.09971890228949,24223,11090,13133
"Western Europe",2000,29441573,14342181,99.99,99.99,2.95362194917259,1.37376597542976,1.5820293117835,8723,3942,4781
"West and Central Africa",2000,31362679,17013269,100,100,32.4665840189434,13.9510350305692,18.7775147545013,102205,47803,54402
"World",2000,530037443,278747381,100,100,13.4233786661113,5.86537109031359,7.6025996439606,711514,327950,383564
"South Asia",2001,134898668,71816596,100,100,19.4690812605249,8.20793403300218,11.3543429252412,262445,118378,144067
"Sub-Saharan Africa",2001,69073050,37595293,100,100,37.0794794840243,14.9774447333002,22.4381001557268,256342,113471,142871
"Europe and Central Asia",2001,63057109,31831263,100,100,5.2098651260879,2.3139817846266,2.90259990476888,32902,14748,18154
"Middle East and North Africa",2001,34038258,18318927,100,100,6.45912930798642,3.05064961340633,3.41890958979848,21964,11194,10770
"Latin America and Caribbean",2001,50388210,26130988,100,100,6.66997860868224,3.06292429487402,3.61813639166437,33614,16031,17583
"East Asia and Pacific",2001,166048456,86834845,100,100,5.64663538904986,2.69177641919097,2.96283425724656,93820,46811,47009
"North America",2001,21544347,10832149,100,100,4.1471231013086,1.897636200129,2.25376372481032,8948,4117,4831
"Eastern and Southern Africa",2001,36827119,20167677,100,100,41.3163114480453,16.0282946755728,25.6999430325435,151925,65176,86749
"Eastern Europe and Central Asia",2001,33756717,17626608,100,100,7.29009448032503,3.11202884681942,4.1911084840081,24538,10989,13549
"Western Europe",2001,29300392,14204655,99.99,99.99,2.84458209067506,1.32272619497406,1.52387156053186,8363,3759,4604
"West and Central Africa",2001,32245931,17427616,100,100,32.2599633140984,13.7599843084949,18.7580900300746,104416,48294,56122
"World",2001,539048098,283360061,100,100,13.1769488287058,5.71390237358842,7.50593463283204,710034,324750,385284
"South Asia",2002,137840472,73204394,100,100,18.8623279549041,8.01982401993145,10.9301619100002,259928,117882,142046
"Sub-Saharan Africa",2002,71176013,38621203,100,100,36.2162685321423,14.5324806610589,22.0035540954502,257937,113076,144861
"Europe and Central Asia",2002,63383414,31996808,100,100,5.06755192136177,2.22219412479721,2.85169481603053,32166,14238,17928
"Middle East and North Africa",2002,34974255,18673043,100,100,6.39287542297828,3.001159476909,3.4019256675261,22339,11225,11114
"Latin America and Caribbean",2002,50887051,26295511,100,100,6.55302703736516,2.98900296388417,3.57470888894504,33355,15742,17613
"East Asia and Pacific",2002,169008174,88084483,100,100,5.47460857335513,2.57845425978439,2.90364121964234,92546,45483,47063
"North America",2002,21924533,10943304,100,100,4.21947371770759,1.92352653713461,2.30037200717418,9269,4215,5054
"Eastern and Southern Africa",2002,38058737,20780020,100,100,39.986560523984,15.3705961152922,25.0002328912514,151868,64376,87492
"Eastern Europe and Central Asia",2002,34230836,17916458,100,100,7.07514392598474,2.97189109330231,4.11548360174304,24124,10665,13459
"Western Europe",2002,29152578,14080350,99.99,99.99,2.74734531333642,1.26736509331566,1.48185827547235,8043,3573,4470
"West and Central Africa",2002,33117276,17841183,100,100,31.906290048451,13.5554162501492,18.6030458280213,106070,48699,57371
