iso3,g.whoregion,year,sex,age_group,mort.nh.nr.num,mort.nh.nr.lo.num,mort.nh.nr.hi.num,mort.nh.re.num,mort.nh.re.lo.num,mort.nh.re.hi.num
GMB,AFR,2015,F,10_14,0.148398928512449,0,6.229621572803,1.30360958211521,0,6.229621572803
GMB,AFR,2015,F,15_19,0.699500685383969,0,13.5250959634039,8.19069031910046,1.42814233739851,14.9532383008024
GMB,AFR,2015,F,20_24,1.0859749243838,0,16.8521835876946,13.6052425710905,5.1791507772432,22.0313343649378
GMB,AFR,2015,F,5_9,0.571435242986037,0,12.224463098922,5.02514124943317,0,12.224463098922
GMB,AFR,2015,M,0_4,2.2665668920483,0,24.3461645716058,20.4193687767525,8.24628649094961,32.5924510625554
GMB,AFR,2015,M,10_14,0.173021586013622,0,6.72661276898254,1.278080190352,0,6.72661276898254
GMB,AFR,2015,M,15_19,2.18675143824516,0,23.9136568727397,22.1232778390021,10.1664494026322,34.0801062753719
GMB,AFR,2015,M,20_24,3.09815977394285,0,28.4641479714327,37.0746472279803,22.842573242264,51.3067212136967
GMB,AFR,2015,M,5_9,0.637755118894919,0,12.9143710315513,4.95532648515511,0,12.9143710315513
GMB,AFR,2016,F,0_4,1.89977427632517,0,22.7397086042051,17.8792766472552,6.50942234515262,29.2491309493578
GMB,AFR,2016,F,10_14,0.155707668918175,0,6.51011852043877,1.36781317254061,0,6.51011852043877
GMB,AFR,2016,F,15_19,0.733951533340529,0,14.1340812909843,8.59408696006102,1.52704631456885,15.6611276055532
GMB,AFR,2016,F,20_24,1.13945987126994,0,17.6109754343747,14.2753093101337,5.46982159294632,23.0807970273211
GMB,AFR,2016,F,5_9,0.599578787494969,0,12.7748857121837,5.27263261113742,0,12.7748857121837
GMB,AFR,2016,M,0_4,2.37819673461017,0,25.4423828200444,21.4250355098558,8.70384409983362,34.146226919878
GMB,AFR,2016,M,10_14,0.181543007761316,0,7.02948740230933,1.34102644220371,0,7.02948740230933
GMB,AFR,2016,M,15_19,2.29445031959282,0,24.9904008902089,23.2128631632666,10.7176627181622,35.708063608371
GMB,AFR,2016,M,20_24,3.25074608807727,0,29.7457838669253,38.9005968822713,24.0277049488087,53.773488815734
GMB,AFR,2016,M,5_9,0.669164958933183,0,13.4958576616221,5.19937942588348,0,13.4958576616221
GMB,AFR,2017,F,0_4,1.94561132749148,0,23.2548096440201,18.3106612220881,6.68325640007806,29.9380660440982
GMB,AFR,2017,F,10_14,0.159464525970158,0,6.65758605740521,1.40081526292315,0,6.65758605740521
GMB,AFR,2017,F,15_19,0.751660044507652,0,14.4542472217153,8.80144191196924,1.5743183011116,16.0285655228269
GMB,AFR,2017,F,20_24,1.16695233764988,0,18.0099001486837,14.6197386938756,5.61478861953373,23.6246887682175
