"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","Maternal","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD"
"TON",2000,"Male",0.0425381487224442,0.0128907518237719,0.0968832267924995,0.0506717583266064,0.109699087276667,0.159036459969003,0.0569434116111713,0.129185628972201,0.203521425640315,0.13863010086532,0,15,19,7,5.19998548786193,7,5.19998548786193,0.190008,0,0.902144955523106,0,0,0,0,0,0.1953
"TON",2001,"Male",0.0427584712227417,0.0128590818329172,0.0931508280674369,0.0532714876193653,0.108212187821718,0.155118889333305,0.0561393441625179,0.130646743358758,0.207246771146887,0.140596195434353,0,15,19,6,5.46256897882719,6,5.46256897882719,0.095004,0,0.451072484592908,0,0,0,0,0,0.1674
"TON",2002,"Male",0.0429661350161036,0.0128077674728594,0.0892369627657901,0.0558989134600332,0.106760620684434,0.150983664331471,0.0552346870790464,0.132263333952454,0.210922847479863,0.142925067757946,0,15,19,6,5.7109362615285,6,5.7109362615285,0.229593,0,1.09009181374559,0,0,0,0,0,0.1674
"TON",2003,"Male",0.0431529663944519,0.012744004160465,0.0853448493241927,0.0584384330038829,0.105535449471316,0.146468844234344,0.0542410693851776,0.134125399006113,0.214211898241897,0.14573708677816,0,15,19,7,5.9096780428676,7,5.9096780428676,0.126672,0,0.601429977102478,0,0,0,0,0,0.1953
"TON",2004,"Male",0.0433191950496758,0.012675419592962,0.0816090465653194,0.0607408732646109,0.104667571195015,0.141486277217077,0.0531594482519468,0.136272211472573,0.21700418444183,0.149065772948991,0,15,19,7,6.05360891367072,7,6.05360891367072,0.095004,0,0.451072484745498,0,0,0,0,0,0.1953
"TON",2005,"Male",0.0434805051519293,0.0126052558789333,0.0781819198981331,0.0626700014305439,0.104474318246843,0.135877687930844,0.052032198619149,0.13886733401179,0.21860321073585,0.153207568095985,0,15,19,7,6.12775497331988,7,6.12775497331988,0.142506,0,0.67660872283688,0,0,0,0,0,0.1953
"TON",2006,"Male",0.0436550612735597,0.012532878171709,0.0750579177509965,0.0639731812213796,0.105083449944798,0.129618352687765,0.0508465654469215,0.141984494354392,0.218959626468911,0.158288472679568,0,15,19,7,6.1220321938793,7,6.1220321938793,0.142506,0,0.676608722990518,0,0,0,0,0,0.1953
"TON",2007,"Male",0.0438272447209522,0.0124496318888616,0.0720674321307274,0.0644451862283195,0.106405880548903,0.122886662416013,0.0495762667925797,0.145550754269085,0.218406534304005,0.164384406700554,0,15,19,7,6.02443551947693,7,6.02443551947693,0.182091,0,0.877427454683262,0,0,0,0,0,0.1953
"TON",2008,"Male",0.0439681628269842,0.012331893451869,0.0691486421361653,0.0641751900286914,0.10842356748807,0.115993696410506,0.0482035443367596,0.149600216997578,0.216402760066658,0.171752326256718,0,15,19,6,5.85822528492655,6,5.85822528492655,0.102921,0,0.508617719794704,0,0,0,0,0,0.1674
"TON",2009,"Male",0.0440778890191649,0.0121871081178569,0.0662714357267166,0.0636937501963854,0.110700721238506,0.109482441541753,0.0467692695648593,0.153491229215031,0.213807910872249,0.179518244507477,0,15,19,6,5.65565875197198,6,5.65565875197198,0.063336,0,0.327514851823822,0,0,0,0,0,0.1674
"TON",2010,"Male",0.0441200620668571,0.0120107344207496,0.0633783435406316,0.0634334267878903,0.112883343820919,0.10351375615587,0.0452865927571652,0.157163527115835,0.210672829139778,0.187537384194303,0,15,19,6,5.42779326130988,6,5.42779326130988,0.087087,0,0.43579231698272,0,0,0,0,0,0.1674
"TON",2011,"Male",0.0440871771018294,0.0117987899971568,0.0605432208750532,0.0639767053358398,0.114686108455606,0.098260697652005,0.043768579432168,0.160635481189634,0.206709387312258,0.19553385264845,0,15,19,7,5.22749777550965,7,5.22749777550965,0.071253,0,0.363470306370038,0,0,0,0,0,0.1953
"TON",2012,"Male",0.0439718347185825,0.0115713861279649,0.0577029126152635,0.0651933658361052,0.115918644770208,0.0934372460201088,0.0422432733024049,0.163909260166034,0.202661862425597,0.203390214017731,0,15,19,6,5.06803201646754,6,5.06803201646754,0.087087,0,0.4357923168832,0,0,0,0,0,0.1674
"TON",2013,"Male",0.0436947292215335,0.0113114814152585,0.0546845540902277,0.0666302108361887,0.116285546051481,0.0886382681230206,0.0405976368141309,0.167761561064091,0.198509618103727,0.211886394280342,0,15,19,6,4.92219711996499,6,4.92219711996499,0.07917,0,0.399563421993462,0,0,0,0,0,0.1674
"TON",2014,"Male",0.0432946215678072,0.0110358451014274,0.0516965441504926,0.0682724994828003,0.115929090815506,0.0840426925315763,0.038908046377004,0.1719056521425,0.194401023217108,0.220513984613778,0,15,19,6,4.79524509895257,6,4.79524509895257,0.102921,0,0.508617719534914,0,0,0,0,0,0.1674
"TON",2015,"Male",0.0428098560895701,0.0107723508112806,0.0488958853925449,0.0701756026819368,0.114978257709644,0.0797046332546221,0.0372863786322483,0.175992080412424,0.190670150795163,0.228714804220566,0,15,19,5,4.68969798442994,5,4.68969798442994,0.110838,0,0.545190276868576,0,0,0,0,0,0.1395
"TON",2016,"Male",0.0422756485009968,0.0105199047509519,0.0464367138356637,0.0723443761037604,0.113687398852155,0.0758876733416375,0.0357508063629784,0.179818649130445,0.187125102389731,0.23615372673168,0,15,19,5,4.60170049003213,5,4.60170049003213,0.063336,0,0.32751485169337,0,0,0,0,0,0.1395
"TON",2017,"Male",0.0417799502735094,0.0103065336488515,0.0445306605252292,0.0753046604902296,0.112410871563799,0.0728204324929052,0.0344482936592873,0.182762338835026,0.183681157218904,0.241955101292259,0,15,19,5,4.52806065661233,5,4.52806065661233,0.087087,0,0.435792316823388,0,0,0,0,0,0.1395
"TON",2018,"Male",0.0412902088292862,0.0101301071792641,0.0430186511887828,0.0790630766039873,0.11115172746448,0.0701856125402747,0.0333379716814183,0.184996477743496,0.180278118447845,0.246548048321165,0,15,19,5,4.46868994347872,5,4.46868994347872,0.071253,0,0.363470306349712,0,0,0,0,0,0.1395
"TON",2019,"Male",0.0407808669749814,0.00998271725405349,0.0417409510712488,0.0834903721232918,0.109906747188873,0.0677365073544498,0.0323596980236498,0.186725237914989,0.176886724117921,0.250390177976542,0,15,19,5,4.40502034459798,5,4.40502034459798,0.0791699999999999,0,0.39956342217919,0,0,0,0,0,0.1395
"TON",2020,"Male",0.0403426258571243,0.00986570854014776,0.0408116580175656,0.0869381918156874,0.109095659589948,0.0658368042704561,0.0315987387442612,0.18802559652961,0.173916180052723,0.253568836582476,0,15,19,5,4.31583562497338,5,4.31583562497338,0.0791699999999999,0,0.39956342217919,0,0,0,0,0,0.1395
"TON",2021,"Male",0.0399326343853383,0.00977126306651051,0.0400332639479381,0.0895979423320086,0.108529465784544,0.0641374214570939,0.0309761904358151,0.189122610268556,0.171313449693559,0.256585758628637,0,15,19,5,4.19035769758596,5,4.19035769758596,0.0791699999999999,0,0.39956342217919,0,0,0,0,0,0.1395
"TTO",2000,"Male",0.0600233319186924,0.0218843391169218,0.0879755512742229,0.158594242848776,0.0784492830685385,0.0762303066101815,0.112927491757832,0.147871899948891,0.176036384687378,0.080007168768566,0,15,19,79,5.3014158823305,79,5.3014158823305,0,0,0,0.699115044247788,0,0,0,0,2.2041
"TTO",2001,"Male",0.0588873210765009,0.0217059029046714,0.0872219174946853,0.166577342626646,0.0766439553757975,0.0754440326764775,0.110438551955694,0.146109414884163,0.178392487447639,0.0785790735577251,0,15,19,82,5.52442701796963,82,5.52442701796963,0,0,0,0.719298245614035,0,0,0,0,2.2878
