"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI"
"MCO",2005,"Both",0.0949380286346413,0.00454134618670462,0.0169577127992373,0.0687285763354584,0.0286159092407384,0,0.232224401501523,0.136380399706473,0.0569063374203398,0.229683252440048,0.131024035734837,5,9,0,0.525689714006494,0,0.525689714006494,0,0,0.00444056775237181,0,0,0.00444056775237181,0,0,0,0,0,0,0,0,0
"MCO",2006,"Both",0.0964024510964566,0.00444912845162436,0.0169370326810965,0.067899343863373,0.0281070729625458,0,0.235414133337376,0.134346294294666,0.0554774183664421,0.233335056797969,0.12763206814845,5,9,0,0.514787306055615,0,0.514787306055615,0,0,0.00649303888677506,0,0,0.00649303888677506,0,0,0,0,0,0,0,0,0
"MCO",2007,"Both",0.0981676501763089,0.00427631038316698,0.0167540540595947,0.067446511460321,0.0272169835561858,0,0.23883109636166,0.131943880261099,0.0539290155639079,0.237417249804201,0.124017248373555,5,9,0,0.504517986751157,0,0.504517986751157,0,0,0.00834484126253948,0,0,0.00834484126253948,0,0,0,0,0,0,0,0,0
"MCO",2008,"Both",0.0998251553323518,0.00414038815486227,0.0166194994529685,0.0668185457006252,0.0264782408275066,0,0.24202504621485,0.129583763603851,0.0525762213960572,0.241352094738924,0.120581044578003,5,9,0,0.494238351610783,0,0.494238351610783,0,0,0.00968996487128802,0,0,0.00968996487128802,0,0,0,0,0,0,0,0,0
"MCO",2009,"Both",0.100981071909319,0.00412683882081669,0.0167370953377888,0.0654488087434351,0.0263107285722535,0,0.244828506325815,0.127798023879044,0.0514262767146153,0.244627616616324,0.117715033080588,5,9,0,0.484504039655688,0,0.484504039655688,0,0,0.0102165571971732,0,0,0.0102165571971732,0,0,0,0,0,0,0,0,0
"MCO",2010,"Both",0.102120194469123,0.00410761768550592,0.0168542007102239,0.0640603069095659,0.0261440648321366,0,0.247622761163731,0.125996552637568,0.0502833656212354,0.247884374903988,0.114926561066921,5,9,0,0.47481601484574,0,0.47481601484574,0,0,0.00959076653824334,0,0,0.00959076653824334,0,0,0,0,0,0,0,0,0
"MCO",2011,"Both",0.103365927394732,0.00405951789036458,0.0169082743451186,0.0627993430223816,0.0258302859804653,0,0.250462842786058,0.124049863458647,0.0491248610028455,0.251311519081052,0.112087565038334,5,9,0,0.46550903094701,0,0.46550903094701,0,0,0.00746369983704724,0,0,0.00746369983704724,0,0,0,0,0,0,0,0,0
"MCO",2012,"Both",0.104578056401372,0.00402436687679247,0.0169740832027392,0.0614921001761336,0.0255275220017713,0,0.25322961746869,0.122159221919511,0.0480070523934071,0.254700868928316,0.109307110631269,5,9,0,0.455476261364888,0,0.455476261364888,0,0,0.00460770562076942,0,0,0.00460770562076942,0,0,0,0,0,0,0,0,0
"MCO",2013,"Both",0.106031458183703,0.00394404635645279,0.0169135397854857,0.0604382666954349,0.0249392218264712,0,0.256052888439431,0.120005592162221,0.0469077314116385,0.258407148566663,0.106360106572499,5,9,0,0.445536675758103,0,0.445536675758103,0,0,0.00183474545809748,0,0,0.00183474545809748,0,0,0,0,0,0,0,0,0
"MCO",2014,"Both",0.107614531078689,0.00384719584451506,0.0167839203005741,0.059502661972477,0.0242137310290137,0,0.258799814931405,0.117689181811493,0.0459165617307178,0.262278160886219,0.103354240414896,5,9,0,0.435214293037637,0,0.435214293037637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
