"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid"
"GMB",2021,"Both",0.0404599544099411,0.0912761438955781,0.0251292578235438,0.065606260339257,0.0679110817857968,0.0911808701757317,0.0738475784733419,0.0926980785991383,0.144138208947385,0.186043677799382,0.104924355787798,5,9,413,5.2942789495669,413,5.2942789495669,0.00294732939473828,0,25.3407489672412,10.0469662933064,0,25.3407489672412,0.00516351118760758,0.00867369138076082,-1.96225885418091,0,0,0.0411750078201294,0,18.7915,11.1097,59.5290802952701
"GNB",2000,"Both",0.0147672321295963,0.171150602277513,0.0191562921597552,0.0134861903051189,0.120339866754069,0.21655037346013,0.00720534037735142,0.0108837945374855,0.331845834096504,0.0211033152613055,0.0150590960151053,5,9,879,24.6063785331476,879,24.6063785331476,0.00147392148965205,0,49.7238990225866,18.7313289503249,0,49.7238990225866,0.0099009900990099,0.0470771510374028,102.852903110193,0,0,0,0,39.9945,23.6451,291.692488170827
"GNB",2001,"Both",0.0157597378785428,0.17115418702893,0.0223137085103651,0.0148068796315432,0.120063090769299,0.200662281481232,0.00850666935273527,0.013307798592799,0.342941751510915,0.0253617089915128,0.016128865874962,5,9,862,23.6275898821262,862,23.6275898821262,0.00159665198802443,0,51.3183518127405,19.8986171720684,0,51.3183518127405,0.0130385487528345,0.0343581196363053,26.8126221625673,0,0,0,0,39.221,23.1878,295.615789802409
"GNB",2002,"Both",0.017565955827406,0.173172328068776,0.0266846751717594,0.0169435742646589,0.125446125459088,0.154410369121611,0.0103602611939944,0.0169984780845048,0.366099888443069,0.0310253142832045,0.0181429703010767,5,9,847,22.6792113747945,847,22.6792113747945,0.00174982486767988,0,54.4778922698067,21.4280849482833,0,54.4778922698067,0.0163742690058479,0.0250259659073233,131.412854898958,0,0,0,0,38.5385,22.7843,310.086605511279
"GNB",2003,"Both",0.0193606946844424,0.17082114516549,0.0308924683056409,0.0192576614401274,0.132286997420226,0.109647796869398,0.0123238928924175,0.0215570519008469,0.386372694272792,0.0367391877381742,0.0206970723894374,5,9,831,21.7495981492638,831,21.7495981492638,0.00190759968924602,0,58.0922934023388,22.9188927145202,0,58.0922934023388,0.0198795180722892,0.0182562191594714,551.761821136292,0,0,0.0722795501351357,0,37.8105,22.3539,321.075708940691
"GNB",2004,"Both",0.0204390845527375,0.161463595015873,0.0332948123283086,0.0210628431376375,0.136554272686096,0.0935494081526497,0.0139013647130927,0.0260226992746928,0.390385055719662,0.0406797233472336,0.0232569405659515,5,9,814,20.815619757511,814,20.815619757511,0.0019770713761692,0,59.1267271898811,23.2676283470023,0,59.1267271898811,0.0240740740740741,0.0133390550558215,202.480540678702,0,0,0.0714718401432037,0.290486991405487,37.037,21.8966,317.773435355805
"GNB",2005,"Both",0.0211719373897711,0.150227607852795,0.033695325256752,0.0225882691757688,0.140693273465341,0.0906784262552458,0.0151102562745605,0.0299211574107251,0.388320909429536,0.0424606307809104,0.0260991166696573,5,9,796,19.9048283247767,796,19.9048283247767,0.00214096114832019,0,63.93970539618,24.639234952451,0,63.93970539618,0.0271293375394322,0.00976279135118412,62.4768268124848,0,0,0.211609110236168,0,36.218,21.4124,309.103443905911
"GNB",2006,"Both",0.0218473652860199,0.139685873702076,0.032925332416771,0.0242811207129265,0.145844035211458,0.088759270830738,0.0161712380161856,0.0337179717353257,0.390935595378981,0.0435716427051474,0.0294826957150567,5,9,776,18.9663519446822,776,18.9663519446822,0.00196912914939028,0,58.4339838454332,22.0923180699293,0,58.4339838454332,0.0308087291399229,0,0,0,0,1.81922245025635,0,35.308,20.8744,303.366022014089
"GNB",2007,"Both",0.0225333026257056,0.130283944546569,0.0311848516235005,0.0259249492787773,0.151584927795892,0.088858149999099,0.0170808537076578,0.0368032809911205,0.383297537275402,0.0432316875937559,0.0333122678936919,5,9,756,18.0284358856644,756,18.0284358856644,0.00209410362591628,0,61.8396694436572,22.8889214693366,0,61.8396694436572,0.0338101430429128,0,0,0,0,0.0702830404043198,0,34.398,20.3364,289.772938180204
"GNB",2008,"Both",0.0232805943049187,0.121949490423423,0.0291096516085065,0.0277325899541719,0.156537115390861,0.0922241008007063,0.0180034297203323,0.0395264944723614,0.368765338051852,0.0427501492604665,0.0373142081514428,5,9,734,17.0483270464421,734,17.0483270464421,0.00220398847603132,0,63.3876813065699,23.3889510062229,0,63.3876813065699,0.0367213114754098,0.00388153790951678,-2.10085925706573,0,0,0,0,33.397,19.7446,270.673758130059
