"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid"
"TCD",2007,"Both",0.284626345204157,0.0032723810234478,0.0049829716240275,0.072226597848239,0.162130649109086,0.00207084649694174,0.00173836511329252,0.440442011839718,0.00414763773318553,0.00439712300786119,10,14,3261,11.8209939349022,3261,11.8209939349022,0.00171557036448929,0,207.578126258776,20.5390150025625,0,207.578126258776,0.0182495006355547,0,0,2.31747484207153,1.87617039680481,108.2652,64.2417,1436.28140060932
"TCD",2008,"Both",0.274931809722824,0.00319323731781932,0.00491014748428405,0.0724248064156388,0.172683542853199,0.00217981144467311,0.00188080830824244,0.438802856528389,0.00409514590288805,0.004490338693812,10,14,3347,11.737654596283,3347,11.737654596283,0.00159926892640198,0,197.271552064695,19.6515807061561,0,197.271552064695,0.0188082264018281,0,0,1.96294569969177,0,111.1204,65.9359,1468.67316080052
"TCD",2009,"Both",0.260661865464049,0.00314419458330127,0.00496079553618769,0.0731569566017639,0.185328497316126,0.00232254804378135,0.00204583706964151,0.439244816918151,0.00414722173763794,0.00460339971026423,10,14,3449,11.6604443580036,3449,11.6604443580036,0.00142247310040859,0,178.627707662958,18.0118173657099,0,178.627707662958,0.0189613939186881,0,0,0.0616853833198547,0.639806091785431,114.5068,67.9453,1514.9553735507
"TCD",2010,"Both",0.246095516633196,0.00315966354220694,0.00514156616645825,0.0746374094589336,0.193126118796605,0.00252026998891247,0.0022450491499687,0.44342219639455,0.00433048573647982,0.00474854654703918,10,14,3564,11.5949639498126,3564,11.5949639498126,0.00131354777074218,0,169.121029572916,17.1871491172651,0,169.121029572916,0.0192596298149075,0,0,0,2.91389513015747,118.3248,70.2108,1580.35670795018
"TCD",2011,"Both",0.239541484434924,0.00326161916503889,0.00540556329709752,0.0770821425468666,0.181979581123165,0.00279336097877,0.00248983565220484,0.457505474738217,0.00458458507520265,0.00494761198864165,10,14,3667,11.5240154262862,3667,11.5240154262862,0.00121723426242805,0,159.959694698769,16.3872227142251,0,159.959694698769,0.0191915067374439,0,0,0.528040111064911,0,121.7444,72.2399,1677.67257586504
"TCD",2012,"Both",0.232483415919757,0.00332765236670755,0.0055821328471049,0.0780276868442701,0.178267849292117,0.00307291651079481,0.00270149185480587,0.467090537479162,0.00473426682027111,0.00503110045401019,10,14,3756,11.4377569149567,3756,11.4377569149567,0.00125441540173749,0,169.045231737593,17.2976553279342,0,169.045231737593,0.0184265342092613,0,0,0.0311618186533451,2.43353796005249,124.6992,73.9932,1754.39205877173
"TCD",2013,"Both",0.230801207651451,0.00336454949657591,0.0055881940763253,0.0775841497032298,0.175801284630248,0.00334326899399443,0.00287706825568141,0.47227789529557,0.00473854493623934,0.00501771426993409,10,14,3845,11.3561079801686,3845,11.3561079801686,0.00123054284956854,0,168.306103686024,17.3705417427084,0,168.306103686024,0.0173755798411825,0,0,0,0,127.654,75.7465,1815.90850741147
"TCD",2014,"Both",0.231454340993536,0.00327818602156208,0.00531382446628981,0.0749022318653807,0.180739917715505,0.00352875276573435,0.0029546349083099,0.470461915858086,0.00442026391401786,0.00485023095323347,10,14,3947,11.2725782886181,3947,11.2725782886181,0.00119755239019679,0,166.370883716077,17.3532940602985,0,166.370883716077,0.0168981481481481,0,0,0.376152843236923,0,131.0404,77.7559,1856.91318189187
"TCD",2015,"Both",0.230964835790052,0.00315551704651603,0.00505619298283896,0.072584145369104,0.184240910210866,0.00375893116904255,0.00306887951691044,0.470745779103559,0.00408453875696507,0.00470198317342568,10,14,4067,11.1926827566701,4067,11.1926827566701,0.0012647271475488,0,168.102251246624,18.8838825721661,0,168.102251246624,0.0163735597331716,0,0,6.15192937850952,0,135.0244,80.1199,1914.52308361417
"TCD",2016,"Both",0.228902219240036,0.00310818032333336,0.00501099425439843,0.0718991654319435,0.188758008109356,0.00416528790761815,0.00334311197461243,0.469076664986561,0.00401434867544192,0.00467397411980678,10,14,4194,11.1151593103442,4194,11.1151593103442,0.00137874188780041,0,190.214813468996,21.2291044670646,0,190.214813468996,0.0156693030890912,0,0,0.721862316131592,0,139.2408,82.6218,1967.30753295364
