"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI"
"MCO",2008,"Both",0.00221901702089995,0.0160976120707918,0.0418424455401796,0.021699881709994,0,0.188533676552435,0.199590848336676,0.042406345247356,0.342352910264054,0.145257263257614,10,14,0,0.569502031316338,0,0.569502031316338,0,0,0.00442019054315545,0,0,0.00442019054315545,0,0,0,0,0,0,0
"MCO",2009,"Both",0.00222636576025074,0.0161809416203733,0.0406240874569237,0.0214583926996812,0,0.189501108840566,0.199852946964009,0.041387228593331,0.345847304128681,0.142921623936185,10,14,0,0.559449377264376,0,0.559449377264376,0,0,0.00466040177713761,0,0,0.00466040177713761,0,0,0,0,0,0,0
"MCO",2010,"Both",0.00222811670727009,0.0162517890727729,0.0394488363186482,0.021210401149457,0,0.190447420657523,0.200091322318009,0.0403619226255207,0.349258273707534,0.140701917443265,10,14,0,0.549422470571659,0,0.549422470571659,0,0,0.0043749400660438,0,0,0.0043749400660438,0,0,0,0,0,0,0
"MCO",2011,"Both",0.00222187969874092,0.0162775918540017,0.0381881153669049,0.0208378230056994,0,0.191139186297147,0.199907239643329,0.0394378688879447,0.353066324038905,0.138923971207328,10,14,0,0.539768768547333,0,0.539768768547333,0,0,0.00340465377066757,0,0,0.00340465377066757,0,0,0,0,0,0,0
"MCO",2012,"Both",0.00222185518745469,0.01631452192994,0.036945370322401,0.0204777073140517,0,0.191737055700849,0.19980241247226,0.0385193105535182,0.356798062576226,0.1371837039433,10,14,0,0.52933849884651,0,0.52933849884651,0,0,0.00210185868381399,0,0,0.00210185868381399,0,0,0,0,0,0,0
"MCO",2013,"Both",0.00221563992719988,0.0162694247346815,0.0355007827257092,0.0198780860241273,0,0.191533545846446,0.199338704950053,0.0378376411639673,0.361151602711691,0.136274571916125,10,14,0,0.518980257945834,0,0.518980257945834,0,0,0.00083694054939354,0,0,0.00083694054939354,0,0,0,0,0,0,0
"MCO",2014,"Both",0.0022092139148138,0.0161769293627696,0.0339796018398881,0.0191529689923755,0,0.190644018675051,0.198551745993891,0.0373527745343634,0.365844429200104,0.136088317486743,10,14,0,0.508196286343687,0,0.508196286343687,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2015,"Both",0.00220520451908158,0.0160696025479787,0.032497247235285,0.0184113520454616,0,0.1893000630949,0.19757349844199,0.0369914564093499,0.37055159810488,0.136399977601074,10,14,0,0.497201296467464,0,0.497201296467464,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2016,"Both",0.0022051214234431,0.0159865882641966,0.0311285648483358,0.0177519227861899,0,0.188011531572155,0.196515028578517,0.0365824391199103,0.375054805470088,0.136763997937165,10,14,0,0.485891424411466,0,0.485891424411466,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2017,"Both",0.00220872083545364,0.0159811476068176,0.0299478514980807,0.017299128373974,0,0.187679203151742,0.19583272474806,0.0358000999280037,0.378991607977327,0.136259515880541,10,14,0,0.474076566131187,0,0.474076566131187,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2018,"Both",0.00220281751814533,0.0159508107412401,0.0287852083023383,0.0168083064399479,0,0.187328546203847,0.194438332044456,0.0350418934533215,0.383287529715575,0.136156555581129,10,14,0,0.462946329792713,0,0.462946329792713,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2019,"Both",0.00218464554046108,0.015871052491813,0.0276253532087336,0.0162421388650487,0,0.186617445605709,0.192446741480681,0.0343984350953046,0.387892400562533,0.136721787149716,10,14,0,0.451526401322511,0,0.451526401322511,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2020,"Both",0.00217013600160142,0.0158725840633038,0.0266329256737589,0.0158907245127571,0,0.18709981479196,0.191407699566407,0.0333189631799731,0.391689455074568,0.135917697135671,10,14,0,0.439826769847218,0,0.439826769847218,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2021,"Both",0.00215631642486595,0.0159002632504834,0.0257168567657928,0.015613815028523,0,0.188015666555903,0.190587066171773,0.0321256265465591,0.395242961461419,0.13464142779468,10,14,0,0.429104821493165,0,0.429104821493165,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2000,"Both",0.0364461092541663,0.021789711982419,0.0449407743077712,0.129764505257659,0,0.101555447043024,0.140198504064923,0.36225490004238,0.121712739333598,0.0413373087140596,10,14,0,2.84484211744362,0,2.84484211744362,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2001,"Both",0.0374443773133004,0.0218162405862964,0.0446881781158995,0.130445353112493,0,0.0988232693368715,0.137585667726098,0.365139922309935,0.122697782206664,0.0413592092924416,10,14,0,2.90374494354972,0,2.90374494354972,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2002,"Both",0.0388631350046287,0.0220536954921578,0.0442455026768069,0.13022199179011,0,0.0992330259463377,0.134697410246524,0.366748596364889,0.123074677028601,0.0408619654499446,10,14,0,2.9607751591807,0,2.9607751591807,0,0,0.0328872673424294,0,0,0.0328872673424294,0,0,0,0,0,0,0
"NIU",2003,"Both",0.0405299298355037,0.0221689006893017,0.0436125272625252,0.130086375526734,0,0.0988484320640548,0.132267987517472,0.369698489445,0.122251118285502,0.0405362393739073,10,14,0,3.00817312924673,0,3.00817312924673,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2004,"Both",0.0416608671541318,0.0222655092139609,0.043227748931135,0.129298135465788,0,0.100994285756407,0.130290634448067,0.371156679532135,0.121224305200992,0.039881834297383,10,14,0,3.04261052546617,0,3.04261052546617,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2005,"Both",0.042635421048418,0.0223442823658606,0.0430758189049807,0.128371807951347,0,0.103669625458288,0.129264706710971,0.370447917482968,0.120920583663781,0.0392698364133851,10,14,0,3.06794422623879,0,3.06794422623879,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2006,"Both",0.042185054655939,0.0220615768450364,0.0434566257842497,0.12769364774284,0,0.105660214089491,0.130173580891874,0.368624620213782,0.12114507059492,0.0389996091818684,10,14,0,3.06321598825376,0,3.06321598825376,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2007,"Both",0.0413882901639446,0.0218379970771081,0.0438791096950996,0.126423220878221,0,0.109972449391705,0.131560085128554,0.364662658325078,0.121791088205051,0.0384851011352385,10,14,0,3.0475876588224,0,3.0475876588224,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2008,"Both",0.0407029431869043,0.0215354455295159,0.044236207434118,0.125572599984808,0,0.112120876198895,0.134463069908144,0.359532097738855,0.123389841915567,0.0384469181031935,10,14,0,3.01722567483442,0,3.01722567483442,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2009,"Both",0.0398862907015215,0.0212325641708925,0.0445520030892295,0.124313396360693,0,0.115541889996295,0.13791095869568,0.353539138002226,0.124704145561333,0.0383196134221295,10,14,0,2.97452849132818,0,2.97452849132818,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2010,"Both",0.0397718145965188,0.0210280231378641,0.0441528801220912,0.123258741869694,0,0.117386773675866,0.141080271819709,0.349374051010073,0.125542047166432,0.0384053966017514,10,14,0,2.93155652398247,0,2.93155652398247,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2011,"Both",0.0397969080848777,0.02072880141776,0.0437015831970863,0.122644907716354,0,0.116759784903135,0.14532097658598,0.345739963780178,0.126364668820176,0.0389424054944533,10,14,0,2.87765987251831,0,2.87765987251831,0,0,0.00822181868526126,0,0,0.00822181868526126,0,0,0,0,0,0,0
"NIU",2012,"Both",0.0398471165954706,0.0204303196349473,0.0431759274343122,0.121830258922416,0,0.116587258838192,0.149740050244153,0.342418400216492,0.126508873694669,0.0394617944193487,10,14,0,2.81744022305297,0,2.81744022305297,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2013,"Both",0.0399775167428724,0.0201206677171542,0.0424932693267035,0.121037636319908,0,0.116093814656843,0.154115731065564,0.340074003550149,0.12605859788867,0.0400287627321368,10,14,0,2.75516530655817,0,2.75516530655817,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2014,"Both",0.0401468894192271,0.0198225080270393,0.0418656874959556,0.120119206171182,0,0.116172102239658,0.158298433214575,0.337810786367352,0.125277082686638,0.040487304378372,10,14,0,2.69640098525836,0,2.69640098525836,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2015,"Both",0.0401773956465717,0.0195363354617288,0.0413605053623857,0.118791833982703,0,0.118008261726793,0.162744133488535,0.334403945891971,0.124289191234696,0.0406883972046159,10,14,0,2.63307850143046,0,2.63307850143046,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2016,"Both",0.0403200715473276,0.0192608560754976,0.0407727399221224,0.117552113322323,0,0.119889749957462,0.166355790882,0.332138190048494,0.122937830924676,0.0407726573200975,10,14,0,2.58100896065061,0,2.58100896065061,0,0,0.0033369481563653,0,0,0.0033369481563653,0,0,0,0,0,0,0
"NIU",2017,"Both",0.0403263946657789,0.0189853417256661,0.0403393540217363,0.116254337324963,0,0.122029268519489,0.170499529834017,0.328578857279458,0.122158659761995,0.0408282568668969,10,14,0,2.52642173240647,0,2.52642173240647,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2018,"Both",0.0401600894543179,0.0187363690319044,0.0400525976430048,0.114857189002932,0,0.124685305880243,0.174934968401685,0.323679420721407,0.122090673802486,0.0408033860620201,10,14,0,2.47191182072037,0,2.47191182072037,0,0,0.0241510744202855,0,0,0.0241510744202855,0,0,0,0,0,0,0
"NIU",2019,"Both",0.0399476613244567,0.0184976980321021,0.0397602082044501,0.11335623481311,0,0.127747046462952,0.179423384625555,0.318614747411758,0.121931612166899,0.0407214069587167,10,14,0,2.415593481642,0,2.415593481642,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2020,"Both",0.0396734673471497,0.0183142957412504,0.039563130845215,0.111989078328329,0,0.130513186690116,0.183637150766886,0.313476365578207,0.122216967796927,0.04061635690592,10,14,0,2.36136727277281,0,2.36136727277281,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",2021,"Both",0.0393494826397143,0.0181490340271998,0.0394057993394511,0.110687549297611,0,0.133002586958335,0.187974512687249,0.308255272460508,0.122650775964221,0.0405249866257105,10,14,0,2.30396629216556,0,2.30396629216556,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLW",2013,"Both",0.0322729366779694,0.0158017485944632,0.0269139580656403,0.0715778540595414,0,0.322083388172605,0.167294900344223,0.216164103509619,0.116587290357631,0.0313038202183084,10,14,0,2.12001240843063,0,2.12001240843063,0,0,0.0474423501578919,0,0,0.0474423501578919,0,0,0,0,0,0,0
"PLW",2014,"Both",0.0313336235554395,0.0154792258707648,0.0268386514111015,0.0702740491337341,0,0.32764680893578,0.169424478136371,0.212043579276352,0.115912568701376,0.0310470149790809,10,14,0,2.06921773864588,0,2.06921773864588,0,0,0.0806165211397123,0,0,0.0806165211397123,0,0,0,0,0,0,0
"PLW",2015,"Both",0.0309036045362234,0.0152388961867721,0.0265706355397978,0.0688775155335789,0,0.333223945627098,0.171805838728264,0.207573526015655,0.115014074468775,0.0307919633638355,10,14,0,2.01810114148249,0,2.01810114148249,0,0,0.0806165211646986,0,0,0.0806165211646986,0,0,0,0,0,0,0
"PLW",2016,"Both",0.0302302254274255,0.0149877319928163,0.0264134052879879,0.067613349347559,0,0.338311148409892,0.173993073552876,0.203263824832199,0.114643694458976,0.0305435466902691,10,14,0,1.97195142132767,0,1.97195142132767,0,0,0.12974395772741,0,0,0.12974395772741,0,0,0,0,0,0,0
"PLW",2017,"Both",0.0297915582019044,0.0147716735052703,0.0261881100744454,0.0665385934108176,0,0.342443004617662,0.175900763869725,0.199854000097208,0.114176542477639,0.0303357537453278,10,14,0,1.92602971411637,0,1.92602971411637,0,0,0.113299327790164,0,0,0.113299327790164,0,0,0,0,0,0,0
"PLW",2018,"Both",0.0296791682563849,0.0145905118718139,0.0259081668731539,0.0655450603826448,0,0.346362939238927,0.177464694717123,0.196903039600494,0.113441684637842,0.0301047344216161,10,14,0,1.88000032253521,0,1.88000032253521,0,0,0.0969152037676006,0,0,0.0969152037676006,0,0,0,0,0,0,0
"PLW",2019,"Both",0.0298034014446779,0.0144634453556122,0.0255194803629076,0.0646027518849993,0,0.349584880193145,0.179277151542433,0.193870026293331,0.112970726948577,0.0299081359743164,10,14,0,1.83722811585973,0,1.83722811585973,0,0,0.0378413497044748,0,0,0.0378413497044748,0,0,0,0,0,0,0
"PLW",2020,"Both",0.0296404909758591,0.014295329047293,0.0251893769402047,0.0636516665567517,0,0.352607193501806,0.181845041546452,0.190523547334581,0.112524913473115,0.0297224406239374,10,14,0,1.79414539700029,0,1.79414539700029,0,0,0.0378413497044748,0,0,0.0378413497044748,0,0,0,0,0,0,0
