"ISO3","Year","Sex","Measles","epi_meas"
"BHS",2012,"Both",0,0
"BHS",2013,"Both",0,0
"BHS",2014,"Both",0,0
"BHS",2015,"Both",0,0
"BHS",2016,"Both",0,0
"BHS",2017,"Both",0,0
"BHS",2018,"Both",0,0
"BHS",2019,"Both",0,0
"BHS",2020,"Both",0,0
"BHS",2021,"Both",0,0
"BIH",2000,"Both",14.0292498134736,1.59095511206354
"BIH",2001,"Both",12.0399179616705,-3.53243447930962
"BIH",2002,"Both",10.332671130037,-4.2383241299149
"BIH",2003,"Both",8.86750997983434,-5.52910556279637
"BIH",2004,"Both",7.61010703358994,-3.35631617818222
"BIH",2005,"Both",6.53100241154436,-3.39269126385454
"BIH",2006,"Both",5.60491361177045,-3.5608114198454
"BIH",2007,"Both",4.81014316269144,0.759305308377892
"BIH",2008,"Both",4.12807026980696,-3.15167579530058
"BIH",2009,"Both",3.542714546344,-1.20733208479614
"BIH",2010,"Both",3.04036160640847,1.03095225162375
"BIH",2011,"Both",2.60924174860846,-1.58970000819098
"BIH",2012,"Both",2.23925420197741,-0.390258754818595
"BIH",2013,"Both",1.92173047351693,-1.3704378752694
"BIH",2014,"Both",1.6492312527906,0.275764050363396
"BIH",2015,"Both",1.41537211521828,0.466901558792949
"BIH",2016,"Both",1.2146739404482,0.803944643231
"BIH",2017,"Both",1.0424345412347,0.191588433733258
"BIH",2018,"Both",0.894618495197395,5.23493339231481
"BIH",2019,"Both",0.767762598312649,0.890360179626194
"BIH",2020,"Both",0.658894724994175,-0.103841192870609
"BIH",2021,"Both",0.565464193722494,0.133057658770792
"BLR",2000,"Both",0,0
"BLR",2001,"Both",0,0
"BLR",2002,"Both",0,0
"BLR",2003,"Both",0,0
"BLR",2004,"Both",0,0
"BLR",2005,"Both",0,0
"BLR",2006,"Both",0,0
"BLR",2007,"Both",0,0
"BLR",2008,"Both",0,0
"BLR",2009,"Both",0,0
"BLR",2010,"Both",0,0
"BLR",2011,"Both",0,0
"BLR",2012,"Both",0,0
"BLR",2013,"Both",0,0
"BLR",2014,"Both",0,0
"BLR",2015,"Both",0,0
"BLR",2016,"Both",0,0
"BLR",2017,"Both",0,0
"BLR",2018,"Both",0,0
"BLR",2019,"Both",0,0
"BLR",2020,"Both",0,0
"BLR",2021,"Both",0,0
"BLZ",2000,"Both",0,0
"BLZ",2001,"Both",0,0
"BLZ",2002,"Both",0,0
"BLZ",2003,"Both",0,0
"BLZ",2004,"Both",0,0
"BLZ",2005,"Both",0,0
"BLZ",2006,"Both",0,0
"BLZ",2007,"Both",0,0
"BLZ",2008,"Both",0,0
"BLZ",2009,"Both",0,0
"BLZ",2010,"Both",0,0
"BLZ",2011,"Both",0,0
"BLZ",2012,"Both",0,0
"BLZ",2013,"Both",0,0
"BLZ",2014,"Both",0,0
"BLZ",2015,"Both",0,0
"BLZ",2016,"Both",0,0
"BLZ",2017,"Both",0,0
"BLZ",2018,"Both",0,0
"BLZ",2019,"Both",0,0
"BLZ",2020,"Both",0,0
"BLZ",2021,"Both",0,0
"BOL",2000,"Both",0,0
"BOL",2001,"Both",0,0
"BOL",2002,"Both",0,0
"BOL",2003,"Both",0,0
"BOL",2004,"Both",0,0
"BOL",2005,"Both",0,0
"BOL",2006,"Both",0,0
"BOL",2007,"Both",0,0
"BOL",2008,"Both",0,0
"BOL",2009,"Both",0,0
"BOL",2010,"Both",0,0
"BOL",2011,"Both",0,0
"BOL",2012,"Both",0,0
"BOL",2013,"Both",0,0
"BOL",2014,"Both",0,0
"BOL",2015,"Both",0,0
"BOL",2016,"Both",0,0
"BOL",2017,"Both",0,0
"BOL",2018,"Both",0,0
"BOL",2019,"Both",0,0
"BOL",2020,"Both",0,0
"BOL",2021,"Both",0,0
"BRA",2000,"Both",0,0
"BRA",2001,"Both",0,0
"BRA",2002,"Both",0,0
"BRA",2003,"Both",0,0
"BRA",2004,"Both",0,0
"BRA",2005,"Both",0,0
"BRA",2006,"Both",0,0
"BRA",2007,"Both",0,0
"BRA",2008,"Both",0,0
"BRA",2009,"Both",0,0
"BRA",2010,"Both",0,0
"BRA",2011,"Both",0,0
"BRA",2012,"Both",0,0
"BRA",2013,"Both",0,0
"BRA",2014,"Both",0,0
"BRA",2015,"Both",0,0
"BRA",2016,"Both",0,0
"BRA",2017,"Both",0,0
"BRA",2018,"Both",0,0
"BRA",2019,"Both",0,0
"BRA",2020,"Both",0,0
"BRA",2021,"Both",0,0
"BRB",2000,"Both",0,0
"BRB",2001,"Both",0,0
"BRB",2002,"Both",0,0
"BRB",2003,"Both",0,0
"BRB",2004,"Both",0,0
"BRB",2005,"Both",0,0
"BRB",2006,"Both",0,0
"BRB",2007,"Both",0,0
"BRB",2008,"Both",0,0
"BRB",2009,"Both",0,0
"BRB",2010,"Both",0,0
"BRB",2011,"Both",0,0
"BRB",2012,"Both",0,0
"BRB",2013,"Both",0,0
"BRB",2014,"Both",0,0
"BRB",2015,"Both",0,0
"BRB",2016,"Both",0,0
"BRB",2017,"Both",0,0
"BRB",2018,"Both",0,0
"BRB",2019,"Both",0,0
"BRB",2020,"Both",0,0
"BRB",2021,"Both",0,0
"BRN",2000,"Both",0,0
"BRN",2001,"Both",0,0
"BRN",2002,"Both",0,0
"BRN",2003,"Both",0,0
"BRN",2004,"Both",0,0
"BRN",2005,"Both",0,0
"BRN",2006,"Both",0,0
"BRN",2007,"Both",0,0
"BRN",2008,"Both",0,0
"BRN",2009,"Both",0,0
"BRN",2010,"Both",0,0
"BRN",2011,"Both",0,0
"BRN",2012,"Both",0,0
"BRN",2013,"Both",0,0
"BRN",2014,"Both",0,0
"BRN",2015,"Both",0,0
"BRN",2016,"Both",0,0
"BRN",2017,"Both",0,0
"BRN",2018,"Both",0,0
"BRN",2019,"Both",0,0
"BRN",2020,"Both",0,0
"BRN",2021,"Both",0,0
"BTN",2000,"Both",10.9035272202289,-2.07641883705021
"BTN",2001,"Both",9.29478516179371,1.01727042597484
"BTN",2002,"Both",7.92340216692619,7.77670731488533
"BTN",2003,"Both",6.7543575032711,-3.09386150679588
"BTN",2004,"Both",5.75779751183454,-1.0965807759947
"BTN",2005,"Both",4.90827324008724,3.83150241756657
"BTN",2006,"Both",4.18409055716897,-1.58964365966225
"BTN",2007,"Both",3.56675615522137,3.35386905458698
"BTN",2008,"Both",3.04050528949768,1.14805567317932
"BTN",2009,"Both",2.5918991972384,0.991499621731329
"BTN",2010,"Both",2.20948191468376,7.89478806670052
"BTN",2011,"Both",1.88348772842546,2.00968858878951
"BTN",2012,"Both",1.60559179034378,-0.586123125220796
"BTN",2013,"Both",1.36869752763113,-0.563669267876947
"BTN",2014,"Both",1.16675541903608,-0.559915762206251
"BTN",2015,"Both",0.994608509453633,0.563296568480632
"BTN",2016,"Both",0.847860717797089,-0.152327442192841
"BTN",2017,"Both",0.722764575157647,-0.0598283645253226
"BTN",2018,"Both",0.616125526442661,1.30391829966055
"BTN",2019,"Both",0,0
"BTN",2020,"Both",0,0
"BTN",2021,"Both",0,0
"BWA",2000,"Both",3.01461646508582,-1.78387341451056
"BWA",2001,"Both",2.25498565356307,-1.62281914870314
"BWA",2002,"Both",1.68676856796458,-0.273082054063824
"BWA",2003,"Both",1.26173228524875,8.97255593038845
"BWA",2004,"Both",0.943797738394098,0.534476607003852
"BWA",2005,"Both",0.705977156494888,1.2944770308983
"BWA",2006,"Both",0.528083216580555,1.57289372738917
"BWA",2007,"Both",0.39501544925146,0.576288430963231
"BWA",2008,"Both",0.295478440230856,0.439137124115458
"BWA",2009,"Both",0.221023022787346,0.361563563688026
"BWA",2010,"Both",0,0
"BWA",2011,"Both",0,0
"BWA",2012,"Both",0,0
"BWA",2013,"Both",0,0
"BWA",2014,"Both",0,0
"BWA",2015,"Both",0,0
"BWA",2016,"Both",0,0
