"ISO3","Year","Sex","TB","TBlo","TBup"
"SYC",2015,"Female",0.0308455997452869,0.0199208089182305,0.0417703905723431
"SYC",2016,"Female",0.0105520150283421,0.00271355046234145,0.0247161320023899
"SYC",2017,"Female",0.00712485878238556,1.02455834541486e-05,0.0221545939519725
"SYC",2018,"Female",0.00364513531026858,0,0.0221920223063574
"SYC",2019,"Female",0.0001162278371516,0,0.00459634025846454
"SYC",2020,"Female",0.0001162278371516,0,0.00459634025846454
"SYC",2021,"Female",0.0001162278371516,0,0.00459634025846454
"SYR",2000,"Female",1.27144843260096,0,4.87627712406502
"SYR",2001,"Female",1.36581420993387,0,10.4765929508838
"SYR",2002,"Female",1.19970482819405,0,7.54629614039812
"SYR",2003,"Female",1.06346412473756,0,8.29616019470132
"SYR",2004,"Female",0.802110255632315,0,4.37308333074982
"SYR",2005,"Female",1.04492956178011,0,4.4001121847242
"SYR",2006,"Female",1.00962623640659,0,4.74211344296418
"SYR",2007,"Female",0.758607015671646,0,3.7780661093117
"SYR",2008,"Female",0.843905056773546,0,2.74239867641792
"SYR",2009,"Female",0.852636484840079,0,3.9476392647209
"SYR",2010,"Female",0.454899458167892,0,1.36651398335732
"SYR",2011,"Female",0.448921585021009,0,1.34855650483163
"SYR",2012,"Female",0.435230377999923,0,1.30742823897003
"SYR",2013,"Female",0.416908904945273,0,1.25239069453678
"SYR",2014,"Female",0.398430706152233,0,1.19688234735942
"SYR",2015,"Female",0.383241511968303,0,1.15125414119337
"SYR",2016,"Female",0.371916288651945,0,1.11723326963838
"SYR",2017,"Female",0.364039585230878,0,1.09357172161594
"SYR",2018,"Female",0.360832520926296,0,1.08393772856105
"SYR",2019,"Female",0.363495793766031,0,1.09193817682292
"SYR",2020,"Female",0.363495793766031,0,1.09193817682292
"SYR",2021,"Female",0.363495793766031,0,1.09193817682292
"TCA",2000,"Female",0,0,0.027348858076855
"TCA",2001,"Female",0,0,0.0292787979863066
"TCA",2002,"Female",0,0,0.0292787980328078
"TCA",2003,"Female",0,0,0.0585575956978994
"TCA",2004,"Female",0,0,0.0590208591766568
"TCA",2005,"Female",0,0,0.0634320305653766
"TCA",2006,"Female",0,0,0.0683171951128068
"TCA",2007,"Female",0,0,0.0669304148931988
"TCA",2008,"Female",0,0,0.0659504370360744
"TCA",2009,"Female",0,0,0.0646548042808538
"TCA",2010,"Female",0,0,0.0638905436926094
"TCA",2011,"Female",0,0,0.0878363934639184
"TCA",2012,"Female",0,0,0.0821603539951936
"TCA",2013,"Female",0,0,0.0273308568677178
"TCA",2014,"Female",0,0,0.00975959905282134
"TCA",2015,"Female",0,0,0.0195191986943706
"TCA",2016,"Female",0,0,0.0238655146684564
"TCA",2017,"Female",0,0,0.0477118812322714
"TCA",2018,"Female",0,0,0.0195191987021809
"TCA",2019,"Female",0,0,0.0477118812667896
"TCA",2020,"Female",0,0,0.0477118812667896
"TCA",2021,"Female",0,0,0.0477118812667896
"TCD",2000,"Female",61.9327112459886,0,339.367386465892
"TCD",2001,"Female",68.1690760507677,0,361.227934779336
"TCD",2002,"Female",73.1528864065911,0,379.960045511018
"TCD",2003,"Female",81.571332201485,0,421.037082310158
"TCD",2004,"Female",84.1112370210417,0,432.04406922063
"TCD",2005,"Female",76.9597148183154,0,394.121808178772
"TCD",2006,"Female",81.2196627735934,0,420.690853118316
"TCD",2007,"Female",85.972876177116,0,449.174860341136
"TCD",2008,"Female",82.2582248722295,0,426.872635594918
"TCD",2009,"Female",75.3944502165068,0,386.529530296182
"TCD",2010,"Female",71.9425270740401,0,365.958187446314
"TCD",2011,"Female",68.5941691517709,0,346.134127046502
